,beta_wTBV_unthresholded,Regions
0,0.04134202097515458,Accessory olfactory bulb
1,-0.45930171035286177,Agranular insular area
2,-0.16036570517355234,Anterior cingulate area
3,0.1608438715642399,Anterior olfactory nucleus
4,-0.21774465024846335,Caudoputamen
5,-0.01729684883352903,Central lobule
6,0.07428331410544588,Cerebellar nuclei
7,-0.15224066994300015,Claustrum
8,-0.1270536413018653,Copula pyramidis
9,0.26372480260652964,Cortical amygdalar area
10,0.253298244300191,Cortical subplate-other
11,-0.17801970969397132,Crus 1
12,-0.22840249740419966,Crus 2
13,-0.09867632870732358,Culmen
14,-0.32331442831619234,Declive (VI)
15,0.22069773413129742,Dentate gyrus
16,-0.18926538981339602,Dorsal auditory area
17,-0.12041050540319798,Ectorhinal area
18,-0.11922973881431971,Endopiriform nucleus
19,-0.04864080979602673,Entorhinal area
20,0.3073768438306225,Field CA1
21,0.26739746662603936,Field CA2
22,0.29162101266596335,Field CA3
23,0.0686465230954527,Flocculus
24,-0.26519188530943993,Folium-tuber vermis (VII)
25,-0.38857318097725513,"Frontal pole, cerebral cortex"
26,0.1312540358234343,Hypothalamus
27,0.09060657664486199,Inferior colliculus
28,-0.03147588977112602,Infralimbic area
29,0.04706943129622859,Lateral septal complex
30,0.058212941064543666,Lingula (I)
31,0.30073646645003926,Main olfactory bulb
32,0.6407661713317208,Medial amygdalar nucleus
33,0.17088607625111416,Medulla
34,0.15552936816917887,Midbrain raphe nuclei
35,0.147807679017231,Midbrain-other
36,0.11590122747254711,Nodulus (X)
37,0.06799307694198208,Olfactory areas-other
38,-0.2946046436320005,Orbital area
39,0.09127022603101055,Pallidum
40,0.02086931066369409,Paraflocculus
41,-0.17988280696338654,Paramedian lobule
42,0.16601654973038715,Periaqueductal gray
43,-0.06957162754512879,Perirhinal area
44,-0.10760986102834653,Piriform area
45,-0.16101939373073124,Piriform-amygdalar area
46,0.06278181318451131,Pons
47,0.00707723062142678,Posterior parietal association areas
48,-0.09595334055331095,Postpiriform transition area
49,-0.3605489016881267,Prelimbic area
50,-0.17861185692358625,Primary auditory area
51,-0.2679212741573253,Primary motor area
52,-0.2455882842363259,Primary somatosensory area
53,-0.12140750610576437,Pyramus (VIII)
54,0.04266021610766819,Retrosplenial area
55,-0.17352988182300155,Secondary motor area
56,-0.16778891629690723,Simple lobule
57,-0.0004647950801802443,Striatum ventral region
58,0.24497134511245328,Subiculum
59,0.20358080727255523,"Superior colliculus, sensory related"
60,-0.2770469467408081,Supplemental somatosensory area
61,-0.06754217056628785,Taenia tecta
62,0.03849905280641268,Temporal association areas
63,-0.12281488518983852,Thalamus
64,0.04878688647613843,Uvula (IX)
65,-0.10178336596548959,Ventral auditory area
66,-0.02945277713729913,Visual areas
